Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
8,Uniswap,UNI,uniswap,"$16,219,657,547.08",$31.07,522.110.657 UNI *,"$457,926,442.94","-0,89%","5,13%","11,59%"
26,Aave,AAVE,aave,"$5,042,122,934.79",$404.31,12.470.941 AAVE *,"$330,959,728.89","-0,08%","4,90%","16,79%"
44,Compound,COMP,compound-governance-token,"$2,789,520,770.54",$552.18,5.051.858 COMP *,"$435,595,247.42","-0,02%","14,84%","52,33%"
51,Synthetix,SNX,havven,"$2,388,814,054.14",$20.80,114.841.533 SNX *,"$123,142,762.27","0,16%","7,15%","26,33%"
53,Maker,MKR,maker,"$2,297,031,462.58","$2,308.02",995.239 MKR *,"$104,507,609.25","0,89%","3,16%","11,87%"
54,The Graph,GRT,the-graph,"$2,201,818,029.75",$1.77,1.245.666.867 GRT *,"$188,205,917.39","0,60%","4,74%","-2,41%"
60,SushiSwap,SUSHI,sushi,"$1,949,566,384.23",$15.32,127.244.443 SUSHI *,"$296,057,578.23","-0,07%","2,99%","0,35%"
61,Polygon,MATIC,matic-network,"$1,817,266,052.38",$0.3626,5.011.255.458 MATIC *,"$165,050,296.46","0,14%","2,43%","4,81%"
67,Decentraland,MANA,decentraland,"$1,604,675,659.92",$1.02,1.578.122.813 MANA *,"$206,622,601.98","0,68%","6,21%","-11,92%"
70,Nexo,NEXO,nexo,"$1,551,779,662.21",$2.77,560.000.011 NEXO *,"$11,017,710.91","0,29%","2,52%","9,52%"
71,UMA,UMA,uma,"$1,539,153,331.79",$25.64,60.025.153 UMA *,"$33,432,664.46","0,34%","3,31%","18,37%"
74,Celsius,CEL,celsius-degree-token,"$1,432,699,071.23",$6.00,238.863.520 CEL,"$15,263,051.72","4,67%","9,62%","25,62%"
76,0x,ZRX,0x,"$1,429,017,529.51",$1.88,760.547.659 ZRX *,"$258,036,566.60","0,35%","6,34%","28,11%"
77,yearn.finance,YFI,yearn-finance,"$1,387,631,625.35","$37,877.27",36.635 YFI *,"$209,632,369.35","0,06%","4,81%","15,91%"
78,Bancor,BNT,bancor,"$1,326,794,099.95",$7.63,173.863.358 BNT *,"$57,149,619.59","0,50%","5,57%","6,75%"
83,Ankr,ANKR,ankr,"$1,182,943,806.50",$0.1691,6.996.232.711 ANKR *,"$212,475,412.16","0,18%","5,70%","-0,86%"
84,Reserve Rights,RSR,reserve-rights-token,"$1,164,061,700.95",$0.08845,13.159.999.000 RSR *,"$117,652,501.78","1,32%","9,83%","5,82%"
86,SwissBorg,CHSB,swissborg,"$1,127,973,906.14",$1.13,1.000.000.000 CHSB *,"$7,678,059.92","-1,56%","10,20%","-3,61%"
91,Fantom,FTM,fantom,"$1,043,450,843.47",$0.41,2.545.006.273 FTM *,"$65,648,647.87","1,24%","5,28%","4,08%"
92,OKB,OKB,okb,"$1,015,554,710.08",$16.93,60.000.000 OKB *,"$217,285,658.51","0,52%","6,02%","24,66%"
102,Livepeer,LPT,livepeer,"$846,461,651.28",$39.99,21.164.655 LPT *,"$107,727,448.39","5,19%","8,43%","61,41%"
103,DODO,DODO,dodo,"$831,618,335.53",$3.95,210.679.660 DODO *,"$26,095,872.78","1,59%","8,37%","-2,83%"
104,Curve DAO Token,CRV,curve-dao-token,"$826,102,378.75",$3.12,265.026.729 CRV *,"$198,108,209.33","1,47%","6,38%","3,13%"
113,Kyber Network,KNC,kyber-network,"$711,614,079.04",$3.47,205.048.084 KNC *,"$161,698,321.41","-0,63%","2,89%","30,06%"
114,ZKSwap,ZKS,zkspace,"$704,756,710.78",$3.57,197.440.000 ZKS *,"$74,924,954.02","2,50%","6,55%","28,95%"
117,1inch,1INCH,1inch,"$693,336,617.75",$4.60,150.842.847 1INCH *,"$91,285,938.40","-0,44%","7,70%","12,42%"
122,Ocean Protocol,OCEAN,ocean-protocol,"$642,394,424.36",$1.51,426.026.837 OCEAN *,"$45,934,534.93","0,80%","8,37%","4,68%"
123,Status,SNT,status,"$629,674,253.87",$0.1814,3.470.483.788 SNT *,"$135,159,839.19","2,88%","11,54%","44,68%"
124,Orbs,ORBS,orbs,"$583,788,899.12",$0.2618,2.229.950.518 ORBS *,"$86,936,378.04","0,03%","6,88%","26,72%"
127,Fetch.ai,FET,fetch-ai,"$541,810,355.56",$0.7262,746.113.681 FET *,"$54,372,950.22","-1,58%","13,71%","-6,94%"
