Rank,Name,Symbol,Coingecko ID,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
13,Polygon,MATIC,matic-network,"$6,675,209,425.46",$0.7643,8.734.317.475 MATIC *,"$208,719,269.43","-1,40%","-0,21%","3,25%"
17,Uniswap,UNI,uniswap,"$4,766,835,265.09",$6.25,762.209.327 UNI *,"$140,262,196.91","-0,82%","-2,41%","10,24%"
38,ApeCoin,APE,apecoin,"$1,539,013,763.61",$5.02,306.875.000 APE *,"$107,878,366.17","-1,19%","-4,40%","-12,26%"
41,Decentraland,MANA,decentraland,"$1,266,785,585.24",$0.6829,1.855.084.192 MANA *,"$70,828,324.37","-1,01%","-1,47%","-2,21%"
43,The Sandbox,SAND,the-sandbox,"$1,220,656,024.56",$0.8141,1.499.470.108 SAND *,"$115,261,351.86","-1,11%","-2,63%","-5,85%"
47,Aave,AAVE,aave,"$1,025,170,155.93",$72.74,14.093.193 AAVE *,"$82,794,766.58","-1,49%","-2,38%","-1,39%"
48,Axie Infinity,AXS,axie-infinity,"$1,008,881,983.23",$12.15,83.056.187 AXS *,"$32,742,661.51","-1,57%","-3,42%","-1,99%"
50,OKB,OKB,okb,"$936,051,885.06",$15.60,60.000.000 OKB *,"$14,024,990.59","-0,70%","-2,47%","4,84%"
58,Maker,MKR,maker,"$738,657,038.57",$755.56,977.631 MKR *,"$35,251,210.96","-0,98%","3,30%","6,50%"
62,The Graph,GRT,the-graph,"$653,198,610.83",$0.09467,6.900.000.000 GRT *,"$16,824,104.15","-1,64%","-2,98%","-6,76%"
67,Fantom,FTM,fantom,"$554,392,888.87",$0.2178,2.545.006.273 FTM *,"$66,890,997.45","-1,33%","-2,92%","-3,00%"
69,Synthetix,SNX,havven,"$528,880,295.57",$2.22,238.500.594 SNX *,"$36,919,180.37","-1,37%","-4,26%","-4,74%"
71,Nexo,NEXO,nexo,"$485,162,965.09",$0.8664,560.000.011 NEXO *,"$7,125,826.50","-1,60%","-5,60%","-5,81%"
73,Curve DAO Token,CRV,curve-dao-token,"$457,261,765.84",$0.8602,531.583.334 CRV *,"$38,040,955.49","-1,49%","-3,44%","-3,28%"
74,Lido DAO,LDO,lido-dao,"$449,653,778.58",$1.44,312.951.154 LDO *,"$15,675,589.20","-2,13%","-4,77%","-8,84%"
79,Compound,COMP,compound-governance-token,"$424,675,516.05",$58.44,7.267.152 COMP *,"$24,833,156.27","-1,13%","-4,07%","-5,07%"
81,Reserve Rights,RSR,reserve-rights-token,"$411,118,262.46",$0.009719,42.302.323.974 RSR *,"$158,302,583.54","-0,64%","1,51%","23,27%"
87,XDC Network,XDC,xdce-crowd-sale,"$387,849,825.36",$0.03152,12.305.012.699 XDC *,"$4,428,709.71","-0,15%","-2,95%","6,67%"
91,STEPN,GMT,stepn,"$363,879,129.05",$0.6065,600.000.000 GMT *,"$64,855,098.73","-1,46%","-5,39%","-1,69%"
97,1inch Network,1INCH,1inch,"$323,934,859.13",$0.5552,583.477.101 1INCH *,"$16,812,622.07","-1,44%","-3,39%","-7,65%"
